time,latitude,longitude,valid_time,t2m,t2m_c
2025-07-14 12:00:00,51.5,0.0,2025-07-14 12:00:00,297.4633,24.313293
2025-07-14 18:00:00,51.5,0.0,2025-07-14 18:00:00,295.72635,22.576355
2025-07-15 00:00:00,51.5,0.0,2025-07-15 00:00:00,288.85242,15.702423
2025-07-15 06:00:00,51.5,0.0,2025-07-15 06:00:00,288.74997,15.599976
2025-07-15 12:00:00,51.5,0.0,2025-07-15 12:00:00,293.65253,20.502533
2025-07-15 18:00:00,51.5,0.0,2025-07-15 18:00:00,293.68524,20.535248
2025-07-16 00:00:00,51.5,0.0,2025-07-16 00:00:00,289.87878,16.72879
2025-07-16 06:00:00,51.5,0.0,2025-07-16 06:00:00,288.7221,15.572113
2025-07-16 12:00:00,51.5,0.0,2025-07-16 12:00:00,296.2312,23.081207
2025-07-16 18:00:00,51.5,0.0,2025-07-16 18:00:00,296.34467,23.194672
2025-07-17 00:00:00,51.5,0.0,2025-07-17 00:00:00,290.89764,17.74765
2025-07-17 06:00:00,51.5,0.0,2025-07-17 06:00:00,291.1493,17.999298
2025-07-17 12:00:00,51.5,0.0,2025-07-17 12:00:00,297.48856,24.338562
2025-07-17 18:00:00,51.5,0.0,2025-07-17 18:00:00,297.9758,24.825806
2025-07-18 00:00:00,51.5,0.0,2025-07-18 00:00:00,293.7486,20.598602
2025-07-18 06:00:00,51.5,0.0,2025-07-18 06:00:00,291.97043,18.820435
2025-07-18 12:00:00,51.5,0.0,2025-07-18 12:00:00,300.79443,27.64444
2025-07-18 18:00:00,51.5,0.0,2025-07-18 18:00:00,301.50388,28.353882
2025-07-19 00:00:00,51.5,0.0,2025-07-19 00:00:00,294.75787,21.60788
2025-07-19 06:00:00,51.5,0.0,2025-07-19 06:00:00,290.7162,17.566193
2025-07-19 12:00:00,51.5,0.0,2025-07-19 12:00:00,291.78607,18.636078
2025-07-19 18:00:00,51.5,0.0,2025-07-19 18:00:00,294.3685,21.218506
2025-07-20 00:00:00,51.5,0.0,2025-07-20 00:00:00,290.25616,17.10617
2025-07-20 06:00:00,51.5,0.0,2025-07-20 06:00:00,290.7254,17.575409
2025-07-20 12:00:00,51.5,0.0,2025-07-20 12:00:00,292.05905,18.909058
2025-07-20 18:00:00,51.5,0.0,2025-07-20 18:00:00,293.06763,19.917633
2025-07-21 00:00:00,51.5,0.0,2025-07-21 00:00:00,288.32953,15.179535
2025-07-21 06:00:00,51.5,0.0,2025-07-21 06:00:00,288.07144,14.921448
2025-07-21 12:00:00,51.5,0.0,2025-07-21 12:00:00,294.21875,21.068756
2025-07-21 18:00:00,51.5,0.0,2025-07-21 18:00:00,293.5078,20.357819
2025-07-22 00:00:00,51.5,0.0,2025-07-22 00:00:00,289.43335,16.283356
2025-07-22 06:00:00,51.5,0.0,2025-07-22 06:00:00,289.75018,16.60019
2025-07-22 12:00:00,51.5,0.0,2025-07-22 12:00:00,295.08752,21.93753
2025-07-22 18:00:00,51.5,0.0,2025-07-22 18:00:00,293.53186,20.381866
2025-07-23 00:00:00,51.5,0.0,2025-07-23 00:00:00,290.27155,17.121552
2025-07-23 06:00:00,51.5,0.0,2025-07-23 06:00:00,289.11032,15.960327
2025-07-23 12:00:00,51.5,0.0,2025-07-23 12:00:00,294.06793,20.917938
2025-07-23 18:00:00,51.5,0.0,2025-07-23 18:00:00,294.48813,21.338135
2025-07-24 00:00:00,51.5,0.0,2025-07-24 00:00:00,289.24084,16.09085
2025-07-24 06:00:00,51.5,0.0,2025-07-24 06:00:00,289.66968,16.519684
2025-07-24 12:00:00,51.5,0.0,2025-07-24 12:00:00,292.53394,19.383942
2025-07-24 18:00:00,51.5,0.0,2025-07-24 18:00:00,291.52948,18.379486
2025-07-25 00:00:00,51.5,0.0,2025-07-25 00:00:00,289.5785,16.428497
2025-07-25 06:00:00,51.5,0.0,2025-07-25 06:00:00,289.1272,15.977203
2025-07-25 12:00:00,51.5,0.0,2025-07-25 12:00:00,296.75812,23.608124
2025-07-25 18:00:00,51.5,0.0,2025-07-25 18:00:00,298.48776,25.337769
2025-07-26 00:00:00,51.5,0.0,2025-07-26 00:00:00,291.6033,18.453308
2025-07-26 06:00:00,51.5,0.0,2025-07-26 06:00:00,289.82837,16.678375
2025-07-26 12:00:00,51.5,0.0,2025-07-26 12:00:00,294.74615,21.59616
2025-07-26 18:00:00,51.5,0.0,2025-07-26 18:00:00,295.16748,22.017487
2025-07-27 00:00:00,51.5,0.0,2025-07-27 00:00:00,289.65118,16.50119
2025-07-27 06:00:00,51.5,0.0,2025-07-27 06:00:00,287.9646,14.814606
2025-07-27 12:00:00,51.5,0.0,2025-07-27 12:00:00,293.75708,20.607086
2025-07-27 18:00:00,51.5,0.0,2025-07-27 18:00:00,292.78094,19.63095
2025-07-28 00:00:00,51.5,0.0,2025-07-28 00:00:00,289.51553,16.36554
2025-07-28 06:00:00,51.5,0.0,2025-07-28 06:00:00,288.39307,15.2430725
2025-07-28 12:00:00,51.5,0.0,2025-07-28 12:00:00,295.8811,22.73111
2025-07-28 18:00:00,51.5,0.0,2025-07-28 18:00:00,295.8835,22.73352
2025-07-29 00:00:00,51.5,0.0,2025-07-29 00:00:00,290.81107,17.661072
2025-07-29 06:00:00,51.5,0.0,2025-07-29 06:00:00,288.21637,15.066376
2025-07-29 12:00:00,51.5,0.0,2025-07-29 12:00:00,290.86066,17.710663
2025-07-29 18:00:00,51.5,0.0,2025-07-29 18:00:00,292.85092,19.700928
2025-07-30 00:00:00,51.5,0.0,2025-07-30 00:00:00,289.7056,16.555603
2025-07-30 06:00:00,51.5,0.0,2025-07-30 06:00:00,289.88226,16.73227
2025-07-30 12:00:00,51.5,0.0,2025-07-30 12:00:00,295.01703,21.867035
2025-07-30 18:00:00,51.5,0.0,2025-07-30 18:00:00,297.22394,24.073944
2025-07-31 00:00:00,51.5,0.0,2025-07-31 00:00:00,291.66327,18.513275
2025-07-31 06:00:00,51.5,0.0,2025-07-31 06:00:00,289.99896,16.848969
2025-07-31 12:00:00,51.5,0.0,2025-07-31 12:00:00,294.73523,21.585236
2025-07-31 18:00:00,51.5,0.0,2025-07-31 18:00:00,294.70322,21.553223
2025-08-01 00:00:00,51.5,0.0,2025-08-01 00:00:00,289.5417,16.391693
2025-08-01 06:00:00,51.5,0.0,2025-08-01 06:00:00,286.9665,13.816498
2025-08-01 12:00:00,51.5,0.0,2025-08-01 12:00:00,292.2489,19.098907
2025-08-01 18:00:00,51.5,0.0,2025-08-01 18:00:00,290.59778,17.447784
2025-08-02 00:00:00,51.5,0.0,2025-08-02 00:00:00,286.95496,13.804962
2025-08-02 06:00:00,51.5,0.0,2025-08-02 06:00:00,287.12674,13.976746
2025-08-02 12:00:00,51.5,0.0,2025-08-02 12:00:00,291.5796,18.429596
2025-08-02 18:00:00,51.5,0.0,2025-08-02 18:00:00,293.29562,20.14563
2025-08-03 00:00:00,51.5,0.0,2025-08-03 00:00:00,287.20944,14.059448
2025-08-03 06:00:00,51.5,0.0,2025-08-03 06:00:00,287.03345,13.883453
2025-08-03 12:00:00,51.5,0.0,2025-08-03 12:00:00,294.31683,21.16684
2025-08-03 18:00:00,51.5,0.0,2025-08-03 18:00:00,295.52173,22.371735
2025-08-04 00:00:00,51.5,0.0,2025-08-04 00:00:00,291.34943,18.199432
2025-08-04 06:00:00,51.5,0.0,2025-08-04 06:00:00,289.63275,16.482758
2025-08-04 12:00:00,51.5,0.0,2025-08-04 12:00:00,294.83948,21.689484
2025-08-04 18:00:00,51.5,0.0,2025-08-04 18:00:00,294.08704,20.937042
2025-08-05 00:00:00,51.5,0.0,2025-08-05 00:00:00,288.85724,15.707245
2025-08-05 06:00:00,51.5,0.0,2025-08-05 06:00:00,286.6731,13.523102
2025-08-05 12:00:00,51.5,0.0,2025-08-05 12:00:00,292.76825,19.618256
2025-08-05 18:00:00,51.5,0.0,2025-08-05 18:00:00,293.5896,20.439606
2025-08-06 00:00:00,51.5,0.0,2025-08-06 00:00:00,286.5915,13.441498
2025-08-06 06:00:00,51.5,0.0,2025-08-06 06:00:00,283.99036,10.840363
2025-08-06 12:00:00,51.5,0.0,2025-08-06 12:00:00,293.8171,20.667114
2025-08-06 18:00:00,51.5,0.0,2025-08-06 18:00:00,293.56653,20.416534
2025-08-07 00:00:00,51.5,0.0,2025-08-07 00:00:00,289.05493,15.904938
2025-08-07 06:00:00,51.5,0.0,2025-08-07 06:00:00,287.93378,14.783783
2025-08-07 12:00:00,51.5,0.0,2025-08-07 12:00:00,294.17264,21.022644
2025-08-07 18:00:00,51.5,0.0,2025-08-07 18:00:00,294.54102,21.391022
2025-08-08 00:00:00,51.5,0.0,2025-08-08 00:00:00,291.742,18.59201
2025-08-08 06:00:00,51.5,0.0,2025-08-08 06:00:00,288.6311,15.48111
2025-08-08 12:00:00,51.5,0.0,2025-08-08 12:00:00,295.6433,22.493317
2025-08-08 18:00:00,51.5,0.0,2025-08-08 18:00:00,296.8404,23.6904
2025-08-09 00:00:00,51.5,0.0,2025-08-09 00:00:00,289.60492,16.454926
2025-08-09 06:00:00,51.5,0.0,2025-08-09 06:00:00,287.47546,14.32547
2025-08-09 12:00:00,51.5,0.0,2025-08-09 12:00:00,295.4436,22.29361
2025-08-09 18:00:00,51.5,0.0,2025-08-09 18:00:00,296.91638,23.766388
2025-08-10 00:00:00,51.5,0.0,2025-08-10 00:00:00,289.93677,16.786774
2025-08-10 06:00:00,51.5,0.0,2025-08-10 06:00:00,287.30914,14.159149
2025-08-10 12:00:00,51.5,0.0,2025-08-10 12:00:00,297.28143,24.13144
2025-08-10 18:00:00,51.5,0.0,2025-08-10 18:00:00,298.86032,25.710327
2025-08-11 00:00:00,51.5,0.0,2025-08-11 00:00:00,290.47714,17.327148
2025-08-11 06:00:00,51.5,0.0,2025-08-11 06:00:00,288.47797,15.327972
2025-08-11 12:00:00,51.5,0.0,2025-08-11 12:00:00,300.9105,27.760498
2025-08-11 18:00:00,51.5,0.0,2025-08-11 18:00:00,298.5197,25.36972
2025-08-12 00:00:00,51.5,0.0,2025-08-12 00:00:00,292.5145,19.364502
2025-08-12 06:00:00,51.5,0.0,2025-08-12 06:00:00,291.35455,18.20456
2025-08-12 12:00:00,51.5,0.0,2025-08-12 12:00:00,302.60297,29.452972
2025-08-12 18:00:00,51.5,0.0,2025-08-12 18:00:00,300.77295,27.622955
2025-08-13 00:00:00,51.5,0.0,2025-08-13 00:00:00,291.8533,18.703308
2025-08-13 06:00:00,51.5,0.0,2025-08-13 06:00:00,290.86664,17.716644
2025-08-13 12:00:00,51.5,0.0,2025-08-13 12:00:00,298.14194,24.991943
2025-08-13 18:00:00,51.5,0.0,2025-08-13 18:00:00,295.89825,22.74826
2025-08-14 00:00:00,51.5,0.0,2025-08-14 00:00:00,291.91614,18.766144
2025-08-14 06:00:00,51.5,0.0,2025-08-14 06:00:00,290.0966,16.946594
2025-08-14 12:00:00,51.5,0.0,2025-08-14 12:00:00,297.43384,24.283844
2025-08-14 18:00:00,51.5,0.0,2025-08-14 18:00:00,299.0124,25.862396
